filename,label,tumorBorder
1.jpg,1,"[267.6152450090744, 231.37568058076226, 277.83666061705986, 248.1016333938294, 289.91651542649726, 250.88929219600726, 305.7132486388385, 253.6769509981851, 318.72232304900183, 249.9600725952813, 321.50998185117965, 237.8802177858439, 354.96188747731395, 234.1633393829401, 367.9709618874773, 227.65880217785843, 380.98003629764065, 210.93284936479128, 372.6170598911071, 195.1361161524501, 363.32486388384757, 177.48094373865698, 350.3157894736842, 176.55172413793105, 336.3774954627949, 183.98548094373865, 317.7931034482759, 196.06533575317604, 305.7132486388385, 207.21597096188748, 295.491833030853, 217.43738656987296, 288.9872958257713, 222.08348457350272, 273.19056261343013, 223.94192377495463, 268.54446460980034, 228.5880217785844]"
2.jpg,1,"[319.33101045296166, 153.42160278745644, 302.38327526132406, 161.44947735191639, 292.57142857142856, 160.5574912891986, 283.65156794425087, 165.90940766550523, 272.9477351916376, 176.61324041811847, 268.4878048780488, 184.6411149825784, 269.37979094076655, 195.34494773519162, 270.2717770034843, 200.69686411149826, 264.0278745644599, 209.61672473867597, 264.9198606271777, 215.86062717770034, 272.9477351916376, 222.9965156794425, 267.59581881533103, 231.9163763066202, 272.05574912891984, 242.62020905923345, 279.191637630662, 244.404181184669, 288.11149825783974, 255.10801393728224, 296.13937282229966, 256.89198606271776, 304.1672473867596, 256.89198606271776, 312.1951219512195, 253.32404181184668, 321.1149825783972, 248.86411149825784, 325.57491289198606, 248.86411149825784, 334.49477351916374, 248.86411149825784, 340.73867595818814, 249.7560975609756, 354.1184668989547, 245.29616724738676, 363.9303135888502, 231.9163763066202, 368.390243902439, 220.3205574912892, 374.6341463414634, 201.58885017421602, 377.31010452961675, 188.20905923344947, 373.74216027874564, 176.61324041811847, 364.82229965156796, 170.36933797909407, 355.01045296167246, 170.36933797909407, 338.9547038327526, 162.34146341463415, 327.3588850174216, 156.09756097560975]"
3.jpg,1,"[280.08362369337976, 173.0452961672474, 273.8397212543554, 188.20905923344947, 271.1637630662021, 203.37282229965157, 270.2717770034843, 216.75261324041813, 267.59581881533103, 223.8885017421603, 276.5156794425087, 237.26829268292684, 297.9233449477352, 245.29616724738676, 300.5993031358885, 253.32404181184668, 297.9233449477352, 265.81184668989545, 301.4912891986063, 271.1637630662021, 315.7630662020906, 277.4076655052265, 322.89895470383277, 281.86759581881535, 336.2787456445993, 279.191637630662, 343.4146341463415, 265.81184668989545, 352.33449477351917, 260.45993031358887, 368.390243902439, 254.21602787456445, 380.8780487804878, 237.26829268292684, 381.77003484320556, 223.8885017421603, 376.41811846689893, 216.75261324041813, 373.74216027874564, 203.37282229965157, 375.52613240418117, 194.45296167247386, 377.31010452961675, 188.20905923344947, 378.2020905923345, 174.82926829268294, 371.9581881533101, 167.69337979094075, 365.7142857142857, 162.34146341463415, 350.55052264808364, 156.98954703832752, 324.6829268292683, 156.09756097560975, 303.2752613240418, 156.98954703832752, 291.6794425087108, 160.5574912891986]"
4.jpg,1,"[279.191637630662, 237.26829268292684, 293.4634146341463, 239.94425087108013, 298.81533101045295, 250.64808362369337, 296.13937282229966, 260.45993031358887, 294.35540069686414, 272.05574912891984, 305.05923344947735, 279.191637630662, 315.7630662020906, 280.9756097560976, 331.81881533101046, 280.9756097560976, 335.3867595818815, 272.9477351916376, 340.73867595818814, 267.59581881533103, 345.198606271777, 256.0, 357.6864111498258, 253.32404181184668, 371.9581881533101, 239.94425087108013, 379.98606271777004, 230.13240418118468, 379.98606271777004, 216.75261324041813, 372.8501742160279, 206.94076655052265, 366.6062717770035, 197.12891986062718, 357.6864111498258, 184.6411149825784, 361.25435540069685, 175.7212543554007, 360.3623693379791, 166.801393728223, 346.98257839721254, 166.801393728223, 330.9268292682927, 164.12543554006967, 313.97909407665503, 163.2334494773519, 300.5993031358885, 164.12543554006967, 283.65156794425087, 165.90940766550523, 277.4076655052265, 176.61324041811847, 276.5156794425087, 195.34494773519162, 282.7595818815331, 205.1567944250871, 278.29965156794424, 219.42857142857142, 272.9477351916376, 229.2404181184669, 274.7317073170732, 236.37630662020905]"
5.jpg,1,"[286.32752613240416, 231.9163763066202, 297.0313588850174, 242.62020905923345, 298.81533101045295, 263.13588850174216, 293.4634146341463, 277.4076655052265, 309.5191637630662, 292.57142857142856, 325.57491289198606, 298.81533101045295, 330.9268292682927, 270.2717770034843, 340.73867595818814, 276.5156794425087, 366.6062717770035, 279.191637630662, 391.58188153310107, 250.64808362369337, 393.3658536585366, 208.72473867595818, 380.8780487804878, 162.34146341463415, 321.1149825783972, 158.77351916376307, 305.9512195121951, 165.90940766550523, 293.4634146341463, 190.88501742160278, 284.54355400696863, 220.3205574912892]"
6.jpg,1,"[285.4355400696864, 184.6411149825784, 273.8397212543554, 200.69686411149826, 268.4878048780488, 212.29268292682926, 257.7839721254355, 220.3205574912892, 265.81184668989545, 235.4843205574913, 274.7317073170732, 242.62020905923345, 291.6794425087108, 244.404181184669, 297.0313588850174, 239.05226480836237, 300.5993031358885, 237.26829268292684, 305.9512195121951, 237.26829268292684, 312.1951219512195, 231.9163763066202, 314.87108013937285, 221.21254355400697, 313.08710801393727, 210.50871080139373, 301.4912891986063, 194.45296167247386, 289.0034843205575, 182.85714285714286, 289.0034843205575, 182.85714285714286]"
7.jpg,1,"[257.7839721254355, 222.10452961672473, 264.0278745644599, 235.4843205574913, 278.29965156794424, 245.29616724738676, 289.0034843205575, 244.404181184669, 301.4912891986063, 241.72822299651568, 312.1951219512195, 232.80836236933797, 313.08710801393727, 216.75261324041813, 297.9233449477352, 196.23693379790942, 287.219512195122, 185.53310104529618, 280.08362369337976, 184.6411149825784, 272.05574912891984, 189.10104529616726, 266.70383275261327, 195.34494773519162, 266.70383275261327, 201.58885017421602, 264.9198606271777, 209.61672473867597, 257.7839721254355, 212.29268292682926, 257.7839721254355, 219.42857142857142]"
8.jpg,1,"[289.89547038327527, 193.5609756097561, 296.13937282229966, 201.58885017421602, 305.9512195121951, 215.86062717770034, 310.411149825784, 227.45644599303137, 310.411149825784, 234.59233449477352, 309.5191637630662, 247.0801393728223, 311.30313588850174, 257.7839721254355, 302.38327526132406, 259.5679442508711, 297.0313588850174, 247.97212543554008, 293.4634146341463, 240.83623693379792, 285.4355400696864, 243.5121951219512, 272.05574912891984, 238.1602787456446, 256.89198606271776, 228.34843205574913, 256.0, 221.21254355400697, 255.10801393728224, 216.75261324041813, 256.89198606271776, 207.83275261324042, 264.9198606271777, 198.02090592334494, 273.8397212543554, 195.34494773519162, 283.65156794425087, 193.5609756097561, 289.89547038327527, 194.45296167247386]"
9.jpg,1,"[240.83623693379792, 257.7839721254355, 232.80836236933797, 257.7839721254355, 222.10452961672473, 265.81184668989545, 217.6445993031359, 288.11149825783974, 209.61672473867597, 306.8432055749129, 210.50871080139373, 319.33101045296166, 217.6445993031359, 319.33101045296166, 229.2404181184669, 310.411149825784, 247.97212543554008, 313.97909407665503, 267.59581881533103, 309.5191637630662, 286.32752613240416, 294.35540069686414, 284.54355400696863, 284.54355400696863, 272.9477351916376, 265.81184668989545, 264.0278745644599, 256.89198606271776, 253.32404181184668, 255.10801393728224]"
10.jpg,1,"[248.86411149825784, 256.89198606271776, 238.1602787456446, 270.2717770034843, 237.26829268292684, 282.7595818815331, 236.37630662020905, 297.9233449477352, 241.72822299651568, 310.411149825784, 253.32404181184668, 321.1149825783972, 270.2717770034843, 325.57491289198606, 286.32752613240416, 321.1149825783972, 297.0313588850174, 308.62717770034845, 300.5993031358885, 285.4355400696864, 296.13937282229966, 267.59581881533103, 282.7595818815331, 256.89198606271776, 258.6759581881533, 251.54006968641116]"
